S.No.,Player Name,Club,Position,Total Attempts,On Target,Off Target,Blocked,Match Played
104,Thiago Alcántara,Liverpool,Midfielder,9,3,6,0,10
105,Capoue,Villarreal,Midfielder,9,3,4,2,12
106,Correa,Atlético,Forward,9,3,4,2,10
107,Mazraoui,Ajax,Defender,9,3,3,3,8
108,Aaronson,Salzburg,Midfielder,9,3,2,4,8
109,Tetê,Shakhtar Donetsk,Forward,9,2,4,3,6
110,Tsygankov,Dynamo Kyiv,Midfielder,9,2,4,3,6
111,Rafa Silva,Benfica,Forward,9,1,4,4,9
112,Valverde,Real Madrid,Midfielder,9,0,4,5,11
113,Azmoun,Zenit,Forward,8,6,1,1,5
114,De Ketelaere,Club Brugge,Forward,8,5,2,1,6
115,Larin,Beşiktaş,Forward,8,5,2,1,5
116,Rits,Club Brugge,Midfielder,8,4,2,2,6
117,Muriel,Atalanta,Forward,8,4,2,2,5
118,Fassnacht,Young Boys,Midfielder,8,3,4,1,3
119,Pedro Porro,Sporting CP,Defender,8,3,2,3,7
120,Ghezzal,Beşiktaş,Midfielder,8,2,6,0,5
121,Luis Suárez,Atlético,Forward,8,2,5,1,7
122,Weghorst,Wolfsburg,Forward,8,2,5,1,5
123,Suso,Sevilla,Forward,8,2,5,1,4
124,Wöber,Salzburg,Defender,8,2,4,2,7
125,Rabiot,Juventus,Midfielder,8,2,4,2,7
126,Di María,Paris,Forward,8,2,4,2,5
127,Kimmich,Bayern,Midfielder,8,2,2,4,8
128,Chilwell,Chelsea,Defender,8,1,6,1,4
129,Locatelli,Juventus,Midfielder,8,0,6,2,7
130,Grujić,Porto,Midfielder,7,6,1,0,6
131,Okafor,Salzburg,Midfielder,7,5,1,1,6
132,Bernardeschi,Juventus,Midfielder,7,5,1,1,5
133,Bernardo Silva,Man. City,Midfielder,7,4,2,1,11
134,Wendel,Zenit,Midfielder,7,4,2,1,6
135,Jones,Liverpool,Midfielder,7,4,1,2,4
136,Shaparenko,Dynamo Kyiv,Midfielder,7,3,4,0,6
137,McKennie,Juventus,Midfielder,7,3,3,1,6
138,Rakitskyy,Zenit,Defender,7,3,2,2,6
139,Rakitić,Sevilla,Midfielder,7,3,2,2,5
140,Garmash,Dynamo Kyiv,Midfielder,7,3,1,3,6
141,Hudson-Odoi,Chelsea,Midfielder,7,3,0,4,5
142,Álvarez,Ajax,Midfielder,7,2,4,1,7
143,Dodô,Shakhtar Donetsk,Defender,7,2,4,1,6
144,Coates,Sporting CP,Defender,7,2,4,1,6
145,Vertonghen,Benfica,Defender,7,2,3,2,10
146,Davies,Bayern,Midfielder,7,2,3,2,7
147,Aebischer,Young Boys,Midfielder,7,1,5,1,6
148,Čolak,Malmö,Forward,7,1,5,1,6
149,Zappacosta,Atalanta,Defender,7,1,4,2,6
150,Solomon,Shakhtar Donetsk,Midfielder,7,1,4,2,5
151,Thiago Silva,Chelsea,Defender,7,1,2,4,9
152,Barella,Inter,Midfielder,7,0,7,0,6
153,Trigueros,Villarreal,Midfielder,6,6,0,0,9
154,Sarabia,Sporting CP,Forward,6,4,0,2,8
155,Šeško,Salzburg,Forward,6,3,3,0,6
156,Van Dijk,Liverpool,Defender,6,3,1,2,9
157,Neres,Ajax,Forward,6,3,1,2,5
158,Martínez,Ajax,Defender,6,2,4,0,8
159,Pulišić,Chelsea,Midfielder,6,2,4,0,7
160,Konaté,Liverpool,Defender,6,2,3,1,8
161,Dimarco,Inter,Defender,6,2,2,2,7
162,Carrasco,Atlético,Forward,6,2,1,3,7
163,Rieder,Young Boys,Midfielder,6,2,1,3,6
164,Alex Sandro,Juventus,Defender,6,1,5,0,7
165,L. de Jong,Barcelona,Forward,6,1,5,0,3
166,Kondogbia,Atlético,Midfielder,6,1,4,1,9
167,Stones,Man. City,Defender,6,1,4,1,8
168,L. Hernández,Bayern,Defender,6,1,4,1,8
169,Dumfries,Inter,Defender,6,1,4,1,7
170,Dzyuba,Zenit,Forward,6,1,3,2,6
171,Dahoud,Dortmund,Midfielder,6,1,1,4,4
172,Alan Patrick,Shakhtar Donetsk,Midfielder,6,1,1,4,4
173,Pedraza,Villarreal,Midfielder,6,0,6,0,10
174,Otávio,Porto,Midfielder,6,0,4,2,6
175,Sowah,Club Brugge,Forward,6,0,3,3,5
176,Zinchenko,Man. City,Defender,6,0,2,4,8
177,Rodri,Man. City,Midfielder,6,0,1,5,10
178,Depay,Barcelona,Forward,6,0,1,5,6
179,Vlahović,Juventus,Forward,5,4,1,0,2
180,Giroud,Milan,Forward,5,3,2,0,5
181,Sancho,Man. United,Midfielder,5,3,1,1,7
182,Laimer,Leipzig,Midfielder,5,3,1,1,6
183,Sierro,Young Boys,Midfielder,5,3,1,1,5
184,Asensio,Real Madrid,Forward,5,3,0,2,8
185,Carvajal,Real Madrid,Defender,5,2,3,0,11
186,Saúl Ñíguez,Chelsea,Midfielder,5,2,3,0,5
187,Robertson,Liverpool,Defender,5,2,2,1,10
188,Matip,Liverpool,Defender,5,2,2,1,7
189,Mukiele,Leipzig,Defender,5,2,2,1,6
190,Fred,Man. United,Midfielder,5,2,2,1,6
191,Koundé,Sevilla,Defender,5,2,2,1,5
192,Brahim Díaz,Milan,Midfielder,5,2,2,1,5
193,Steffen,Wolfsburg,Midfielder,5,2,2,1,5
194,Dia,Villarreal,Forward,5,2,1,2,8
195,Ulmer,Salzburg,Defender,5,2,1,2,8
196,Parejo,Villarreal,Midfielder,5,1,4,0,12
197,Laporte,Man. City,Defender,5,1,4,0,9
